Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,canonical_id,source_dataset,source_version,source_url,source_file_name,source_file_size_bytes,source_sha256,source_csv_sha256,source_downloaded_at_utc,source_licence,source_attribution,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,summit_verification_status,gpt_review_status,gpt_flags,claude_review_status,claude_flags,discrepancy_status,import_status,qa_status,qa_flags
5164,Moel y Gaer,,,30C,30C: Llandudno to Wrexham,,,WN07 Gamelin-famau,Flintshire [Sir Fflint],"Hu,3",117,265,303.7,996,SJ210690,SJ 21067 69081,128,SJ119750,176,wall of hollowed tumulus,top of covered reservoir about 50m E is 0.63m higher,Leica NA730/Leica 530,,W,,09-Jul-22,Lower than the Marilyn Mynydd y Cwm (hill 2051),"https://www.streetmap.co.uk/map?X=321065&Y=369078&SV=321065,369078&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.212893,-3.183465",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5164,321065,369078,53.212893,-3.183465,SJ2106569078,30.3,2051,Mynydd y Cwm [Coed Cwm],,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5164,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.212893,-3.183465,303.7,128,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5178,Mynydd y Glyn,,,30E,30E: Bala to Welshpool,The Berwyns,,WN10 Aran-idris,Powys,"Hu,3",125,239,389,1276,SJ153222,SJ 15358 22244,131,SJ135220,258,no feature: ground 4m E of trig point,40m E of trig point,Abney level,,W,,25-Jan-24,,"https://www.streetmap.co.uk/map?X=315356&Y=322240&SV=315356,322240&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.791081,-3.256652",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5178,315356,322240,52.791081,-3.256652,SJ1535622240,30.5,2131,Rhialgwm,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5178,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.791081,-3.256652,389,131,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5186,Yr Allt,,,30E,30E: Bala to Welshpool,,,WM01 Carneddwen-golfa,Powys,"Hu,2",126,240,232,761,SJ242100,SJ 24241 10007,106,SJ 2183 0877,126.1,no feature 250m S of trig point,,,,W,,19-Oct-14,Relocated from northern summit in Sept 2011. Col height determined with Trimble GeoXH 6000.,"https://www.streetmap.co.uk/map?X=324239&Y=310003&SV=324239,310003&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.682416,-3.122122",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5186,324239,310003,52.682416,-3.122122,SJ2423910003,30.5,2136,Y Golfa,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5186,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.682416,-3.122122,232,106,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5188,Pen-y-coed,,,30E,30E: Bala to Welshpool,The Berwyns,,WN08 Berwyn-gyrn,Denbighshire [Sir Ddinbych],"Hu,2",117,255 256,220,722,SJ225414,SJ 22566 41475,105,SJ 2241 4100,115.2,no feature: ground by wall,summit in trees,,,W,,09-Feb-20,,"https://www.streetmap.co.uk/map?X=322564&Y=341472&SV=322564,341472&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.965008,-3.154366",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5188,322564,341472,52.965008,-3.154366,SJ2256441472,30.5,2087,Cadair Berwyn,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5188,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.965008,-3.154366,220,105,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5190,Foel Ddu,,,30F,30F: Dolgellau to Machynlleth,Cadair Idris,,WN10 Aran-idris,Gwynedd,"Hu,4",124,023W,448,1470,SH697095,SH 69741 09555,129,SH705101,319,no feature,,,,W,,25-Jan-24,,"https://www.streetmap.co.uk/map?X=269738&Y=309551&SV=269738,309551&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.667986,-3.927748",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5190,269738,309551,52.667986,-3.927748,SH6973809551,30.6,2137,Cadair Idris - Penygadair,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5190,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.667986,-3.927748,448,129,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5195,Moelfre,,,31A,31A: Aberystwyth to Welshpool,Central Wales - Pumlumon,,WM02 Pumlumon-amlwg,Powys,"Hu,4",135 136,215W,469,1539,SN848983,SN 84820 98358,106,SN849968,363,knoll,,,,W,,21-Dec-12,,"https://www.streetmap.co.uk/map?X=284817&Y=298354&SV=284817,298354&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.570787,-3.700965",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5195,284817,298354,52.570787,-3.700965,SN8481798354,31.1,2161,Pumlumon Fawr [Plynlimon],,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5195,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.570787,-3.700965,469,106,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5197,Dinas,,,31A,31A: Aberystwyth to Welshpool,Central Wales - Pumlumon,,WM02 Pumlumon-amlwg,Powys,"Hu,4",136,214W,445.3,1461,SN904885,SN 90409 88510,102.4,SN 9037 8941,342.8,no feature,rock 30m N at SN 90412 88542 is probably as high,Trimble GeoXH 6000,,W,,04-Oct-14,,"https://www.streetmap.co.uk/map?X=290406&Y=288506&SV=290406,288506&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.483443,-3.615283",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5197,290406,288506,52.483443,-3.615283,SN9040688506,31.1,2170,Bryn Amlwg,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5197,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.483443,-3.615283,445.3,102.4,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5213,Y Foel,,,31B,31B: Welshpool to Hay-on-Wye,,,WM03 Pegwn-beacon,Powys,"Hu,4",136,214E,435,1427,SO018840,SO 01868 84072,116,SO022842,319,cairn,trees hamper GPS accuracy,,,W,,28-Mar-10,,"https://www.streetmap.co.uk/map?X=301866&Y=284068&SV=301866,284068&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.445741,-3.445292",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5213,301866,284068,52.445741,-3.445292,SO0186684068,31.2,2182,Pegwn Mawr,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5213,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.445741,-3.445292,435,116,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5214,Moelfre,,,31B,31B: Welshpool to Hay-on-Wye,,,WM03 Pegwn-beacon,Powys,"Hu,4",136,214W,429,1407,SN995829,SN 99547 82921,120,SN994805,309,cairn,,Abney level,,W,,21-Dec-12,,"https://www.streetmap.co.uk/map?X=299544&Y=282916&SV=299544,282916&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.434974,-3.479083",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5214,299544,282916,52.434974,-3.479083,SN9954482916,31.2,2182,Pegwn Mawr,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5214,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.434974,-3.479083,429,120,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5220,Bryn Mawr,,,31B,31B: Welshpool to Hay-on-Wye,,,WM03 Pegwn-beacon,Powys,"Hu,4",136,214W,405.1,1329,SN944803,SN 94492 80305,110,SN940797,295,no feature: grassy rise,ground 70m NW at SN 94448 80359 is 0.6m lower; ground 130m NNW at SN 94428 80421 is 1.6m lower,Trimble GeoXH 6000,,W,,03-Jun-24,,"https://www.streetmap.co.uk/map?X=294489&Y=280300&SV=294489,280300&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.410511,-3.552586",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5220,294489,280300,52.410511,-3.552586,SN9448980300,31.2,2188,Garreg Lwyd,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5220,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.410511,-3.552586,405.1,110,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5221,Castle Hill,,,31B,31B: Welshpool to Hay-on-Wye,,,WM03 Pegwn-beacon,Powys,"Hu,3",136 147,200E,388,1273,SO007685,SO 00765 68526,125,SO007694,263,mound,,,,W,,14-Aug-11,,"https://www.streetmap.co.uk/map?X=300763&Y=268521&SV=300763,268521&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.305824,-3.456909",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5221,300763,268521,52.305824,-3.456909,SO0076368521,31.2,2182,Pegwn Mawr,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5221,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.305824,-3.456909,388,125,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5222,Breidden Hill,,,31B,31B: Welshpool to Hay-on-Wye,,,EC02 Clee-corndon,Powys,"Hu,3",126,240,366.6,1203,SJ295144,SJ 29512 14417,106.7,SJ291130,259.9,rock at base of monument,trig point 5m N is lower,Abney level/Trimble GeoXH 6000,,W,,30-Oct-14,,"https://www.streetmap.co.uk/map?X=329510&Y=314413&SV=329510,314413&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.722767,-3.045111",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5222,329510,314413,52.722767,-3.045111,SJ2951014413,31.2,2201,Moel y Golfa,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5222,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.722767,-3.045111,366.6,106.7,source_backed,pending,,pending,,pending,not_imported,warning,england_wales_border_source_signal
5228,Y Garth,,,31C,31C: South-West Wales,Central Wales - Elan Valley,,WM05 Drygarn-epynt,Powys,"Hu,4",147,200W,433,1421,SN934558,SN 93447 55853,105.1,SN 9369 5640,327.8,small rocky outcrop,,Abney level/Trimble GeoXH 6000,,W,,12-Sep-15,Summit height is 433.0m,"https://www.streetmap.co.uk/map?X=293444&Y=255848&SV=293444,255848&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.190557,-3.560199",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5228,293444,255848,52.190557,-3.560199,SN9344455848,31.3,2203,Drygarn Fawr,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5228,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.190557,-3.560199,433,105.1,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5231,Mynydd Bach,,,31C,31C: South-West Wales,,,WM05 Drygarn-epynt,Cardiganshire [Ceredigion],"Hu,3",135 147,213,374.1,1227,SN712707,SN 71301 70789,133.8,SN 7278 7044,240.3,ground in felled conifers,ground 50m S at SN 71283 70744 and 65m S at SN 71275 70724 are slightly lower; ground 410m W at SN 70893 70715 is 1.7m lower; all other summits are at least 3m lower,,,W,,30-Aug-20,,"https://www.streetmap.co.uk/map?X=271298&Y=270784&SV=271298,270784&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.320039,-3.889697",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5231,271298,270784,52.320039,-3.889697,SN7129870784,31.3,2207,Llan Ddu Fawr [Carnyrhyrddod] [Waun Claerddu],,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5231,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.320039,-3.889697,374.1,133.8,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5251,Pen y Fan,,,31C,31C: South-West Wales,,,WM06 Cwmcerwyn-brandy,Pembrokeshire [Sir Benfro],"Hu,1",145 157,0035E,142,466,SN005411,SN 00559 41160,136,SN013399,6,ground within 2m of trig point,,obvious summit,,W,,25-Jan-24,,"https://www.streetmap.co.uk/map?X=200556&Y=241155&SV=200556,241155&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.032855,-4.908995",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5251,200556,241155,52.032855,-4.908995,SN0055641155,31.3,2215,Mynydd Carningli,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5251,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.032855,-4.908995,142,136,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5254,Moelfre,,,32A,32A: Llandovery to Monmouth,,,WM05 Drygarn-epynt,Powys,"Hu,4",147,188,442,1450,SO010483,SO 01053 48370,104,SO002480,338,no feature 120m WSW of trig point,ground is 80cm above trig point flush bracket (SO 01168 48411),Abney level,,W,,21-Dec-12,,"https://www.streetmap.co.uk/map?X=301051&Y=248365&SV=301051,248365&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.124720,-3.446788",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5254,301051,248365,52.12472,-3.446788,SO0105148365,32.1,2270,Mynydd Epynt [Mynydd Eppynt],,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5254,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.12472,-3.446788,442,104,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5260,Yr Allt,,,32A,32A: Llandovery to Monmouth,,,WM05 Drygarn-epynt,Powys,"Hu,3",160,012E,333,1093,SO085307,SO 08595 30732,107,SO082312,226,trig point,,,,W,,21-Dec-12,,"https://www.streetmap.co.uk/map?X=308593&Y=230727&SV=308593,230727&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=51.967483,-3.331930",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5260,308593,230727,51.967483,-3.33193,SO0859330727,32.1,2270,Mynydd Epynt [Mynydd Eppynt],,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5260,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,51.967483,-3.33193,333,107,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
5264,Garth,,,32A,32A: Llandovery to Monmouth,,,WM05 Drygarn-epynt,Powys,"Hu,2",147,188 200E,280.4,920,SO053506,SO 05323 50632,109,SO 0437 4973,171,ground within 1m of trig point,ground 7m SSW of trig is slightly lower,Abney level,,W,,24-Mar-25,,"https://www.streetmap.co.uk/map?X=305321&Y=250627&SV=305321,250627&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.1458,-3.385065",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=5264,305321,250627,52.1458,-3.385065,SO0532150627,32.1,2270,Mynydd Epynt [Mynydd Eppynt],,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:5264,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.1458,-3.385065,280.4,109,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
