Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,summit_ready_canonical_id,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,col_height_m_normalized,source_dataset,source_version,source_release_date,source_file_sha256,source_license,source_attribution,source_trust,final_verification_status,needs_review_reason,qa_status,qa_flags,data_priority,ai_fallback_allowed
1961,Mynydd Bodafon [Yr Arwydd],,,30A,30A: Anglesey and the Lleyn Peninsula,,Anglesey,IW01 Anglesey-bardsey,Anglesey [Sir Fon],"Ma,1,SIB",114,263N,177.6,583,SH472854,SH 47247 85421,177.6,Sea,0,trig point,,obvious summit,,W,,14-Feb-20,,"https://www.streetmap.co.uk/map?X=247244&Y=385418&SV=247244,385418&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.343558,-4.296025",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1961,247244,385418,53.343558,-4.296025,SH4724485418,30.1,1961,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1961,Wales,53.34355800,-4.29602500,177.6,177.6,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1962,Mynydd Enlli,,,30A,30A: Anglesey and the Lleyn Peninsula,,Mono Tump island,IW01 Anglesey-bardsey,Gwynedd,"Ma,1,SIB",123,253,167.9,551,SH123219,SH 12316 21935,167.9,Sea,0,rock outcrop,mound 70m SSW at SH 12280 21872 is 0.8m lower,Abney level/Trimble GeoXH 6000,,W,,03-Sep-15,,"https://www.streetmap.co.uk/map?X=212312&Y=321931&SV=212312,321931&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.762305,-4.783113",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1962,212312,321931,52.762305,-4.783113,SH1231221931,30.1,1962,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1962,Wales,52.76230500,-4.78311300,167.9,167.9,0,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1963,Snowdon - Yr Wyddfa,,,30B,30B: Snowdonia,Snowdon,,WN02 Snowdon-eilio,Gwynedd,"Ma,F,Sim,Hew,N,HHB,CoH,CoA,CoU",115,017W,1085,3560,SH609543,SH 60989 54379,1039,NS758782,46,trig point/view indicator,,,,W,"Gwynedd, Caernarfonshire [Sir Gaernarfon], Gwynedd (1974-1996), Caernarfonshire [Sir Gaernarfon] (1889-1974)",07-Mar-17,,"https://www.streetmap.co.uk/map?X=260986&Y=354376&SV=260986,354376&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.068496,-4.076231",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1963,260986,354376,53.068496,-4.076231,SH6098654376,30.2,1963,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1963,Wales,53.06849600,-4.07623100,1085,1039,46,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1964,Crib y Ddysgl,,,30B,30B: Snowdonia,Snowdon,,WN02 Snowdon-eilio,Gwynedd,"F,Sim,Hew,N,HHB",115,017W,1065.3,3495,SH610551,SH 61082 55158,74,SH607548,991,rock 6m SW of trig point,,Leica NA730/Leica GS15,,W,,23-Oct-23,,"https://www.streetmap.co.uk/map?X=261079&Y=355155&SV=261079,355155&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.075519,-4.07518",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1964,261079,355155,53.075519,-4.07518,SH6107955155,30.2,1963,Snowdon - Yr Wyddfa,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1964,Wales,53.07551900,-4.07518000,1065.3,74,991,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1965,Carnedd Llewelyn,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,"Conwy, Gwynedd","Ma,F,Sim,Hew,N,HHB,CoU",115,017E 017W,1061.8,3484,SH683643,SH 68364 64375,747.5,SH 6752 6049,314.3,cairn,shelter 25m SSW of cairn (SH 68376 64350) is 0.4m lower; ground at SH 68292 64474 and tors at SH 68233 64495 and SH 68192 64466 are 1.3 and 1.7m lower respectively,Abney level,,W,Conwy,10-Dec-25,,"https://www.streetmap.co.uk/map?X=268361&Y=364372&SV=268361,364372&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.160168,-3.970333",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1965,268361,364372,53.160168,-3.970333,SH6836164372,30.2,1965,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1965,Wales,53.16016800,-3.97033300,1061.8,747.5,314.3,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,INFO: DoBIH v18.5 retains 1061.8 m after a 10-Dec-2025 revision; older external sources may still show 1064 m. Retain DoBIH value.,info,known_wales_recent_revision_info,1,true
1966,Carnedd Dafydd,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,"Conwy, Gwynedd","Hu,F,Sim,Hew,N,HHB",115,017W,1044.5,3427,SH662630,SH 66286 63049,114.9,SH 6820 6374,929.6,cairn,rocks 30m SE at SH 66314 63034 are 30cm lower; cairn 65m ESE at SH 66352 63041 is 1m lower; note summit cairn may be on man-made structure,Abney level,,W,,10-Dec-25,,"https://www.streetmap.co.uk/map?X=266283&Y=363046&SV=266283,363046&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.147738,-4.000839",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1966,266283,363046,53.147738,-4.000839,SH6628363046,30.2,1965,Carnedd Llewelyn,,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1966,Wales,53.14773800,-4.00083900,1044.5,114.9,929.6,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1967,Glyder Fawr,,,30B,30B: Snowdonia,The Glyders,,WN03 Glyder-tryfan,"Conwy, Gwynedd","Ma,F,Sim,Hew,N,HHB",115,017W,1000.9,3284,SH642579,SH 64246 57956,642,SH647556,359,rock tor,rock outcrop 40m SSW at SH 64230 57923 is 1.45m lower; all other rock features lower still,Abney level/Leica 530,,W,,15-Nov-16,,"https://www.streetmap.co.uk/map?X=264243&Y=357953&SV=264243,357953&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.101470,-4.029164",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1967,264243,357953,53.10147,-4.029164,SH6424357953,30.2,1967,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1967,Wales,53.10147000,-4.02916400,1000.9,642,359,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1968,Glyder Fach,,,30B,30B: Snowdonia,The Glyders,,WN03 Glyder-tryfan,Conwy,"F,Sim,Hew,N,HHB",115,017W,994.3,3262,SH656582,SH 65646 58289,74.5,SH 6527 5815,919.8,large rock on huge pile of rocks,,obvious summit/Trimble GeoXH 6000,,W,,19-Oct-14,,"https://www.streetmap.co.uk/map?X=265643&Y=358286&SV=265643,358286&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.104815,-4.008407",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1968,265643,358286,53.104815,-4.008407,SH6564358286,30.2,1967,Glyder Fawr,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1968,Wales,53.10481500,-4.00840700,994.3,74.5,919.8,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1969,Pen yr Ole Wen,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,"Conwy, Gwynedd","F,Sim,Hew,N,HHB",115,017W,978.5,3210,SH655619,SH 65599 61946,45.2,SH 6548 6221,933.3,ground 5m N of cairn,,Abney level,,W,,10-Dec-25,Added to Trail 100 list Jan 2020,"https://www.streetmap.co.uk/map?X=265596&Y=361943&SV=265596,361943&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.137656,-4.010641",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1969,265596,361943,53.137656,-4.010641,SH6559661943,30.2,1965,Carnedd Llewelyn,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1969,Wales,53.13765600,-4.01064100,978.5,45.2,933.3,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
1970,Foel Grach,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,"Conwy, Gwynedd","F,Sim,Hew,N,HHB",115,017E 017W,975.4,3200,SH688659,SH 68881 65909,41.7,SH 6889 6532,933.8,cairn,rock outcrop 25m SSE at SH 68891 65885 is about 50cm lower,Abney level/Leica RX1250,,W,,13-Dec-17,,"https://www.streetmap.co.uk/map?X=268878&Y=365906&SV=268878,365906&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.174077,-3.963234",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=1970,268878,365906,53.174077,-3.963234,SH6887865906,30.2,1965,Carnedd Llewelyn,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:1970,Wales,53.17407700,-3.96323400,975.4,41.7,933.8,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
